,property_class,property_status,address,neighborhood,location,latitude_pinpoint,longitude_pinpoint,year_of_acquisition,latitude_street,longitude_street,frontview_heading,panoids_years
593,Residential Improved,Disposed,"2511  ASKEW AVE,Kansas City, MO 64127",Washington Wheatley,"2511  ASKEW AVE,Kansas City, MO 64127,(39.079818, -94.54086),geocode,(39.0798251, -94.5406359)",39.0798251,-94.5406359,2014,39.079818,-94.54086,90,"{2007: '8q8AxALl4ymxgSzmhz5Ovw', 2011: '6XJr5RT01fD5avH4E3vuWg', 2014: '6OmQfwSs4sHmCwKrH5gSuA', 2019: 'Z8shG4C2OA-c8akfyMxIrw'}"
594,Residential Improved,Disposed,"5605 E 39TH ST,KANSAS CITY, MO 64130",Vineyard Estates,"5605 E 39TH ST,KANSAS CITY, MO 64130,(39.053908, -94.518857),geocode,(39.05374630000001, -94.5189588)",39.0537463,-94.5189588,2016,39.053908,-94.518857,180,"{2011: 'YZNajSqvfIbu8YU3OUEq1w', 2016: 'BFkd4DjfQ_3EF0GlFlhAOw', 2019: 'TBv3_qKsgOW_AVVqKLKL_w'}"
595,Residential Improved,Disposed,"6203 E 10TH ST,Kansas City, MO 64126",Sheffield,"6203 E 10TH ST,Kansas City, MO 64126,(39.100226, -94.509534),geocode,(39.1000419, -94.5095375)",39.1000419,-94.5095375,2014,39.100226,-94.509534,180,"{2008: 'e5vudE5jdUQcbyvQXO6Wtg', 2011: '2uBkxrbbsn9CgxbyYiaDyw', 2014: 'lkvG7Gzc_zrFWXE0tmPCgQ', 2019: 'nzmgSmdpBirVZ7tcCBShCQ'}"
596,Residential Improved,Disposed,"2512 Park Ave,Kansas City, MO 64127",Wendell Phillips,"2512 Park Ave,Kansas City, MO 64127,(39.080304, -94.55581),geocode,(39.0803314, -94.55605580000001)",39.0803314,-94.5560558,2013,39.080304,-94.55581,90,"{2007: '9Z8wTGhUS-dY8bAEqL8T1Q', 2011: 'c-Ynf3KKmkBQysf5sxmiag', 2019: '9DYVCdgPIiMmGql0wvkyXg'}"
597,Residential Improved,Disposed,"2109 PROSPECT AVE,KANSAS CITY, MO 64127",Washington Wheatley,"2109 PROSPECT AVE,KANSAS CITY, MO 64127,(39.086294, -94.552061),geocode,(39.0863045, -94.55178490000002)",39.0863045,-94.5517849,2013,39.086294,-94.552061,90,"{2007: 'zxaQBWxUJycraRffditYAA', 2011: 'jzeqlJfVYYIlpBAcmYdmng', 2015: 'vJdUdieQ3PxRbS_URO4P9g', 2016: '0ARco__gbtDVDCj3trvjDw', 2017: 'YBMw8eUByqIp3D3pXjvNOQ', 2018: 'BfHI3PLZe53PPk5v6XBn_w', 2019: 'w3bzGjJRHvzZJ8ZGVXedEQ', 2021: 'uffxgOflUX3JfvwsrCb6hw'}"
598,Residential Improved,Reserved,"3717 E 30TH ST,Kansas City, MO 64109",Ingleside,"3717 E 30TH ST,Kansas City, MO 64109,(39.071242, -94.539387),geocode,(39.0710895, -94.53943749999999)",39.0710895,-94.5394375,2015,39.071242,-94.539387,180,"{2007: 'C_YKCJXU2ftC0nxCkYyXKw', 2011: 'O-dANd93sheMem56ehC3vQ', 2014: '3EIECUH2PwprzC-Vd910mQ', 2019: '5ruk6CD-l6yIHse6Zo4n1w'}"
599,Residential Improved,Disposed,"5415 BONITA ST,KANSAS CITY, MO 64128",South Blue Valley,"5415 BONITA ST,KANSAS CITY, MO 64128,(39.073857, -94.519587),geocode,(39.0737258, -94.5196232)",39.0737258,-94.5196232,2013,39.073857,-94.519587,180,"{2008: 'zxO7_bXvD8JpLY-D01Ii_g', 2011: 'vdx86jhLKHCGF6I8RMwUiA', 2014: 'oLCOv39Jf-6yYfU_dZEDkA', 2019: '-LdHSufQ-i1QefWuPgB-ug'}"
600,Residential Improved,Disposed,"2311 MONROE AVE,KANSAS CITY, MO 64127",East Community Team South,"2311 MONROE AVE,KANSAS CITY, MO 64127,(39.083411, -94.539446),geocode,(39.0833827, -94.539216)",39.0833827,-94.539216,2013,39.083411,-94.539446,90,"{2007: 'WOSgf6mKASWRxJde2xCs5w', 2011: 'OwR8ATNwZd91BmPQLXTXmA', 2013: 'Gq4APan0Kh8IHgAjZfTD3g', 2014: 'K6cWH62OYbwip0oKUxK1oQ', 2019: '3cb3rZw8WzRF1u0mpWlpSA'}"
601,Residential Improved,Disposed,"710 E 92ND ST,Kansas City, MO 64131.0",Boone Hills,"710 E 92ND ST,Kansas City, MO 64131.0,(38.960913, -94.580759),geocode,(38.9611257, -94.5808416)",38.9611257,-94.5808416,2015,38.960913,-94.580759,180,"{2007: 'aba7GrhM9Bo2WJUmwpodTg', 2011: 'LFbt6ex7QUqhtRYTn8RXBg', 2014: '3QLj2L5chouRdi7BrsqqNA', 2019: 'WXnL6m_sgYDglWpgduS1FA'}"
602,Residential Improved,Reserved,"6664 College Ave,KANSAS CITY, MO 64132.0",Swope Park Campus,"6664 College Ave,KANSAS CITY, MO 64132.0,(39.005009, -94.548404),geocode,(39.0050629, -94.5487028)",39.0050629,-94.5487028,2020,39.005009,-94.548404,90,"{2007: 'vYocjaqX7IX58Gl8brShRg', 2011: 'aKqIqVKS4KaIb_hKxQIk-w', 2019: 'X8wHQcOdekq9_PoUOU1kwA', 2021: 'wLUs7Eb53i2L4-mmhtXKTQ'}"
